상품종류,단축코드,표준코드, 한글종목명, ATM구분, 행사가, 월물구분코드, 기초자산 단축코드, 기초자산 명
9,1AHW12,KR41AHWC0003,코리아밸류업 F 202512,,0,3,4446,코리아 밸류업 지수
2,401W0601,KR4401W6W9S8,SP 2506-2509,,0,1,2001,KOSPI200
2,401W0602,KR4401W6WCS0,SP 2506-2512,,0,1,2001,KOSPI200
2,401W0603,KR4401W663S0,SP 2506-2603,,0,1,2001,KOSPI200
2,401W0604,KR4401W666S3,SP 2506-2606,,0,1,2001,KOSPI200
2,401W0605,KR4401W66CS7,SP 2506-2612,,0,1,2001,KOSPI200
2,401W0606,KR4401W67CS5,SP 2506-2712,,0,1,2001,KOSPI200
8,404W0601,KR4404W6W7S6,변동성SP 2506-2507,,0,1,503,VKOSPI
8,404W0602,KR4404W6W8S4,변동성SP 2506-2508,,0,1,503,VKOSPI
8,404W0603,KR4404W6W9S2,변동성SP 2506-2509,,0,1,503,VKOSPI
8,404W0604,KR4404W6WAS1,변동성SP 2506-2510,,0,1,503,VKOSPI
8,404W0605,KR4404W6WBS9,변동성SP 2506-2511,,0,1,503,VKOSPI
C,405W0601,KR4405W6W7S3,미니SP 2506-2507,,0,1,2001,KOSPI200
C,405W0602,KR4405W6W8S1,미니SP 2506-2508,,0,1,2001,KOSPI200
C,405W0603,KR4405W6W9S9,미니SP 2506-2509,,0,1,2001,KOSPI200
C,405W0604,KR4405W6WAS0,미니SP 2506-2510,,0,1,2001,KOSPI200
C,405W0605,KR4405W6WBS8,미니SP 2506-2511,,0,1,2001,KOSPI200
4,406W0601,KR4406W6W9S7,코스닥150SP 2506-2509,,0,1,3003,KSQ150
4,406W0602,KR4406W6WCS5,코스닥150SP 2506-2512,,0,1,3003,KSQ150
4,406W0603,KR4406W663S5,코스닥150SP 2506-2603,,0,1,3003,KSQ150
4,406W0604,KR4406W666S8,코스닥150SP 2506-2606,,0,1,3003,KSQ150
4,406W0605,KR4406W66CS6,코스닥150SP 2506-2612,,0,1,3003,KSQ150
4,406W0606,KR4406W67CS4,코스닥150SP 2506-2712,,0,1,3003,KSQ150
G,407W0601,KR4407W6W9S5,유로스톡스50SP 2506-2509,,0,1,6291,Euro Stoxx 50 Daily Short (Gross Return)
G,407W0602,KR4407W6WCS4,유로스톡스50SP 2506-2512,,0,1,6291,Euro Stoxx 50 Daily Short (Gross Return)
I,408W0601,KR4408W6W9S3,KRX300SP 2506-2509,,0,1,4300,KRX 300
I,408W0602,KR4408W6WCS3,KRX300SP 2506-2512,,0,1,4300,KRX 300
I,408W0603,KR4408W663S3,KRX300SP 2506-2603,,0,1,4300,KRX 300
A,4A0W0601,KR44A0W6W9S2,에너지화학SP 2506-2509,,0,1,2012,K에너지화학
A,4A0W0602,KR44A0W6WCS6,에너지화학SP 2506-2512,,0,1,2012,K에너지화학
A,4A0W0603,KR44A0W663S6,에너지화학SP 2506-2603,,0,1,2012,K에너지화학
A,4A1W0601,KR44A1W6W9S0,정보기술SP 2506-2509,,0,1,2013,K정보기술
A,4A1W0602,KR44A1W6WCS5,정보기술SP 2506-2512,,0,1,2013,K정보기술
A,4A1W0603,KR44A1W663S5,정보기술SP 2506-2603,,0,1,2013,K정보기술
A,4A2W0601,KR44A2W6W9S8,금융SP 2506-2509,,0,1,2014,K금융
A,4A2W0602,KR44A2W6WCS4,금융SP 2506-2512,,0,1,2014,K금융
A,4A2W0603,KR44A2W663S4,금융SP 2506-2603,,0,1,2014,K금융
A,4A3W0601,KR44A3W6W9S6,경기소비재SP 2506-2509,,0,1,2016,K경기소비재
A,4A3W0602,KR44A3W6WCS3,경기소비재SP 2506-2512,,0,1,2016,K경기소비재
A,4A3W0603,KR44A3W663S3,경기소비재SP 2506-2603,,0,1,2016,K경기소비재
