stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,code,trade_date,collection_time
2025-06-05,39.65,39.65,39.65,39.65,0,0,Y,209DXW330,2025-06-05,20:35:43
2025-06-04,39.65,39.65,39.65,39.65,4,39650,Y,209DXW330,2025-06-05,20:35:43
2025-06-02,29.7,29.7,29.7,29.7,0,0,Y,209DXW330,2025-06-05,20:35:43
2025-05-30,33.25,33.25,33.25,33.25,0,0,Y,209DXW330,2025-06-05,20:35:43
2025-05-29,26.55,26.55,26.55,26.55,0,0,Y,209DXW330,2025-06-05,20:35:43
