frgn_seln_vol,frgn_shnu_vol,frgn_ntby_qty,frgn_seln_tr_pbmn,frgn_shnu_tr_pbmn,frgn_ntby_tr_pbmn,orgn_seln_vol,orgn_shnu_vol,orgn_ntby_qty,orgn_seln_tr_pbmn,orgn_shnu_tr_pbmn,orgn_ntby_tr_pbmn,code,trade_date,collection_time
151597,158610,7013,1425212,1464807,39595,18916,19041,125,395991,405940,9949,kosdaq,2025-06-05,19:28:20
151597,158610,7013,1425212,1464807,39595,18916,19041,125,395991,405940,9949,kosdaq,2025-06-05,19:38:08
151597,158610,7013,1425212,1464807,39595,18916,19041,125,395991,405940,9949,kosdaq,2025-06-05,20:19:48
151597,158610,7013,1425212,1464807,39595,18916,19041,125,395991,405940,9949,kosdaq,2025-06-05,20:26:04
