frgn_seln_vol,frgn_shnu_vol,frgn_ntby_qty,frgn_seln_tr_pbmn,frgn_shnu_tr_pbmn,frgn_ntby_tr_pbmn,orgn_seln_vol,orgn_shnu_vol,orgn_ntby_qty,orgn_seln_tr_pbmn,orgn_shnu_tr_pbmn,orgn_ntby_tr_pbmn,code,trade_date,collection_time
130035,137551,7516,4307583,5287642,980059,51422,53075,1653,2575359,2796027,220669,kospi,2025-06-05,19:28:20
130035,137551,7516,4307583,5287642,980059,51422,53075,1653,2575359,2796027,220669,kospi,2025-06-05,19:38:08
130035,137551,7516,4307583,5287642,980059,51422,53075,1653,2575359,2796027,220669,kospi,2025-06-05,20:19:48
130035,137551,7516,4307583,5287642,980059,51422,53075,1653,2575359,2796027,220669,kospi,2025-06-05,20:26:04
