acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
475.0,3547.36,301W08475,103.9,0.0,3,0.0,74.4,133.9,5.44,103.9,0,5,5,0,0,0,-0.985,0.001,0.0623,0.0221,-0.8961,49.1686,98.46,6.37,6.53,23.6987,97.53,0.0,0.0,0.0,133.95,74.35,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
472.5,3528.69,301W08472,101.45,0.0,3,0.0,71.9,131.45,5.49,101.45,0,5,5,0,0,0,-0.9829,0.0011,0.0695,0.0206,-0.8899,48.5361,95.96,6.37,6.7,23.6987,95.08,0.0,0.0,0.0,131.5,71.85,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
470.0,3510.02,301W08470,98.95,0.0,3,0.0,69.4,129.0,5.49,98.95,0,5,5,0,0,0,-0.9807,0.0012,0.0773,0.0191,-0.8836,47.7752,93.46,6.33,6.83,23.6987,92.62,0.0,0.0,0.0,129.05,69.35,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
467.5,3491.35,301W08467,96.45,0.0,3,0.0,66.95,126.55,5.49,96.45,0,5,5,0,0,0,-0.9781,0.0013,0.0859,0.0174,-0.877,47.0069,90.96,6.27,6.95,23.6987,90.18,0.0,0.0,0.0,126.6,66.9,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
465.0,3472.68,301W08465,94.0,0.0,3,0.0,64.45,124.15,5.54,94.0,0,5,5,0,0,0,-0.9753,0.0015,0.0952,0.0156,-0.8703,46.3485,88.46,6.27,7.15,23.6987,87.73,0.0,0.0,0.0,124.2,64.4,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
462.5,3454.01,301W08462,91.5,0.0,3,0.0,61.95,121.7,5.54,91.5,0,5,5,0,0,0,-0.9721,0.0016,0.1053,0.0136,-0.8634,45.5638,85.96,6.2,7.27,23.6987,85.3,0.0,0.0,0.0,121.75,61.9,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
460.0,3435.34,301W08460,89.0,0.0,3,0.0,59.45,119.25,5.54,89.0,0,5,5,0,0,0,-0.9686,0.0018,0.1162,0.0115,-0.8562,44.7709,83.46,6.13,7.4,23.6987,82.87,0.0,0.0,0.0,119.3,59.4,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
457.5,3416.67,301W08457,86.55,0.0,3,0.0,57.0,116.8,5.59,86.55,0,5,5,0,0,0,-0.9647,0.002,0.1279,0.0092,-0.8487,44.0845,80.96,6.11,7.6,23.6987,80.44,0.0,0.0,0.0,116.85,56.95,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
455.0,3398.0,301W08455,84.05,0.0,3,0.0,54.5,114.45,5.59,84.05,0,5,5,0,0,0,-0.9604,0.0022,0.1405,0.0068,-0.841,43.2736,78.46,6.02,7.71,23.6987,78.03,0.0,0.0,0.0,114.5,54.45,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
452.5,3379.33,301W08452,81.6,0.0,3,0.0,52.0,112.05,5.64,81.6,0,5,5,0,0,0,-0.9556,0.0024,0.154,0.0042,-0.833,42.5666,75.96,5.97,7.89,23.6987,75.63,0.0,0.0,0.0,112.1,51.95,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
450.0,3360.66,301W08450,79.1,0.0,3,0.0,49.5,109.65,5.64,79.1,0,5,5,0,0,0,-0.9504,0.0026,0.1684,0.0015,-0.8246,41.7366,73.46,5.87,8.02,23.6987,73.23,0.0,0.0,0.0,109.7,49.45,ITM,0,5,5,0.0,0.0,0,0.0,202508_put,2025-06-05,19:28:20
