acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
475.0,3547.36,301W07475,98.2,-6.85,5,-6.52,75.5,99.9,-0.26,105.05,5,2,6,123338,7,5,-0.9991,0.0001,0.0034,0.0318,-0.4541,0.0,98.46,-0.24,-0.24,23.6987,98.44,100.7,100.7,97.1,134.6,75.45,ITM,1,8,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
472.5,3528.69,301W07472,102.55,0.0,3,0.0,73.0,132.1,6.59,102.55,0,6,6,0,0,0,-0.9989,0.0001,0.0042,0.0313,-0.4516,69.0988,95.96,6.6,6.88,23.6987,95.95,0.0,0.0,0.0,132.15,72.95,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
470.0,3510.02,301W07470,100.05,0.0,3,0.0,70.5,129.6,6.59,100.05,0,6,6,0,0,0,-0.9986,0.0002,0.0053,0.0308,-0.4491,68.0456,93.46,6.59,7.05,23.6987,93.46,0.0,0.0,0.0,129.65,70.45,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
467.5,3491.35,301W07467,97.55,0.0,3,0.0,68.0,127.1,6.59,97.55,0,6,6,0,0,0,-0.9982,0.0002,0.0065,0.0302,-0.4466,66.9816,90.96,6.58,7.23,23.6987,90.97,0.0,0.0,0.0,127.15,67.95,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
465.0,3472.68,301W07465,95.05,0.0,3,0.0,65.55,124.6,6.59,95.05,0,6,6,0,0,0,-0.9978,0.0003,0.0081,0.0295,-0.444,65.9066,88.46,6.57,7.43,23.6987,88.48,0.0,0.0,0.0,124.65,65.5,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
462.5,3454.01,301W07462,92.55,0.0,3,0.0,63.05,122.1,6.59,92.55,0,6,6,0,0,0,-0.9972,0.0003,0.0099,0.0286,-0.4414,64.8203,85.96,6.56,7.63,23.6987,85.99,0.0,0.0,0.0,122.15,63.0,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
460.0,3435.34,301W07460,90.05,0.0,3,0.0,60.55,119.65,6.59,90.05,0,6,6,0,0,0,-0.9965,0.0004,0.0121,0.0277,-0.4388,63.7222,83.46,6.55,7.84,23.6987,83.5,0.0,0.0,0.0,119.7,60.5,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
457.5,3416.67,301W07457,87.55,0.0,3,0.0,58.05,117.15,6.59,87.55,0,6,6,0,0,0,-0.9957,0.0005,0.0148,0.0266,-0.4361,62.612,80.96,6.54,8.07,23.6987,81.01,0.0,0.0,0.0,117.2,58.0,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
455.0,3398.0,301W07455,85.1,0.0,3,0.0,55.55,114.65,6.64,85.1,0,6,6,0,0,0,-0.9946,0.0006,0.0179,0.0253,-0.4333,61.651,78.46,6.57,8.37,23.6987,78.53,0.0,0.0,0.0,114.7,55.5,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
452.5,3379.33,301W07452,82.6,0.0,3,0.0,53.05,112.2,6.64,82.6,0,6,6,0,0,0,-0.9933,0.0007,0.0217,0.0239,-0.4305,60.5142,75.96,6.55,8.61,23.6987,76.05,0.0,0.0,0.0,112.25,53.0,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
450.0,3360.66,301W07450,80.1,0.0,3,0.0,50.55,109.7,6.64,80.1,0,6,6,0,0,0,-0.9918,0.0008,0.0261,0.0222,-0.4276,59.3641,73.46,6.53,8.88,23.6987,73.57,0.0,0.0,0.0,109.75,50.5,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
447.5,3341.99,301W07447,77.6,0.0,3,0.0,48.05,107.2,6.64,77.6,0,6,6,0,0,0,-0.9899,0.001,0.0312,0.0202,-0.4245,58.2002,70.96,6.51,9.16,23.6987,71.09,0.0,0.0,0.0,107.25,48.0,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
445.0,3323.32,301W07445,75.1,0.0,3,0.0,45.6,104.75,6.64,75.1,0,6,6,0,0,0,-0.9877,0.0012,0.0371,0.018,-0.4214,57.0221,68.46,6.48,9.44,23.6987,68.62,0.0,0.0,0.0,104.8,45.55,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
442.5,3304.65,301W07442,72.6,0.0,3,0.0,43.1,102.25,6.64,72.6,0,6,6,0,0,0,-0.985,0.0014,0.044,0.0154,-0.418,55.8291,65.96,6.44,9.73,23.6987,66.16,0.0,0.0,0.0,102.3,43.05,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
440.0,3285.98,301W07440,70.1,0.0,3,0.0,40.6,99.8,6.64,70.1,0,6,6,0,0,0,-0.9818,0.0016,0.0518,0.0125,-0.4145,54.6208,63.46,6.4,10.05,23.6987,63.7,0.0,0.0,0.0,99.85,40.55,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
437.5,3267.31,301W07437,67.65,0.0,3,0.0,38.1,97.35,6.69,67.65,0,6,6,0,0,0,-0.9781,0.0019,0.0608,0.0092,-0.4108,53.5483,60.96,6.41,10.47,23.6987,61.24,0.0,0.0,0.0,97.4,38.05,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
435.0,3248.64,301W07435,65.15,0.0,3,0.0,35.6,94.85,6.69,65.15,0,6,6,0,0,0,-0.9737,0.0022,0.071,0.0055,-0.4069,52.3059,58.46,6.35,10.8,23.6987,58.8,0.0,0.0,0.0,94.9,35.55,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
432.5,3229.97,301W07432,62.65,0.0,3,0.0,33.1,92.4,6.69,62.65,0,6,6,0,0,0,-0.9685,0.0026,0.0824,0.0013,-0.4027,51.0461,55.96,6.28,11.14,23.6987,56.37,0.0,0.0,0.0,92.45,33.05,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
430.0,3211.3,301W07430,60.15,0.0,3,0.0,30.6,89.95,6.69,60.15,0,6,6,0,0,0,-0.9625,0.003,0.0951,-0.0033,-0.3982,49.7682,53.46,6.2,11.49,23.6987,53.95,0.0,0.0,0.0,90.0,30.55,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
427.5,3192.63,301W07427,57.7,0.0,3,0.0,28.1,87.5,6.74,57.7,0,6,6,0,0,0,-0.9555,0.0034,0.1092,-0.0085,-0.3934,48.6166,50.96,6.16,11.95,23.6987,51.54,0.0,0.0,0.0,87.55,28.05,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
425.0,3173.96,301W07425,55.2,0.0,3,0.0,25.65,85.05,6.74,55.2,0,6,6,0,0,0,-0.9475,0.0039,0.1247,-0.0141,-0.3882,47.2981,48.46,6.05,12.31,23.6987,49.15,0.0,0.0,0.0,85.1,25.6,ITM,0,6,6,0.0,0.0,0,0.0,202507_put,2025-06-05,19:28:20
