acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
475.0,3547.36,201W08475,0.1,0.05,2,100.0,0.1,0.11,0.1,0.05,34,2,1,885,135,-6,0.015,0.001,0.0623,-0.0109,0.0104,21.6874,0.0,-0.1,-50.0,23.6987,0.2,0.05,0.13,0.05,8.13,0.01,OTM,0,7,33,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
472.5,3528.69,201W08472,0.15,0.11,2,275.0,0.09,0.15,0.15,0.04,4,1,9,130,10,-2,0.0171,0.0011,0.0695,-0.0122,0.0118,22.357,0.0,-0.08,-34.78,23.6987,0.23,0.11,0.15,0.11,8.57,0.01,OTM,-1,1,28,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
470.0,3510.02,201W08470,0.11,0.04,2,57.14,0.02,0.17,0.11,0.07,5,18,8,143,10,-2,0.0193,0.0012,0.0773,-0.0136,0.0134,21.0647,0.0,-0.16,-59.26,23.6987,0.27,0.07,0.15,0.07,8.99,0.01,OTM,0,18,18,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
467.5,3491.35,201W08467,0.08,0.0,3,0.0,0.02,9.41,0.08,0.08,0,25,8,0,1,0,0.0219,0.0013,0.0859,-0.0151,0.0152,19.8508,0.0,-0.23,-74.19,23.6987,0.31,0.0,0.0,0.0,9.42,0.01,OTM,0,25,18,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
465.0,3472.68,201W08465,0.12,0.03,2,33.33,0.12,0.2,0.12,0.09,1,18,17,30,5,0,0.0247,0.0015,0.0952,-0.0167,0.0171,20.3975,0.0,-0.23,-65.71,23.6987,0.35,0.12,0.12,0.12,9.85,0.01,OTM,0,18,26,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
462.5,3454.01,201W08462,0.14,0.03,2,27.27,0.03,0.22,0.14,0.11,1,18,8,35,1,0,0.0279,0.0016,0.1053,-0.0185,0.0193,20.3428,0.0,-0.26,-65.0,23.6987,0.4,0.14,0.14,0.14,10.25,0.01,OTM,0,18,9,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
460.0,3435.34,201W08460,0.16,0.02,2,14.29,0.04,10.65,0.16,0.14,1,25,4,40,12,-1,0.0314,0.0018,0.1162,-0.0205,0.0217,20.2339,0.0,-0.3,-65.22,23.6987,0.46,0.16,0.16,0.16,10.7,0.01,OTM,-1,25,4,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
457.5,3416.67,201W08457,0.16,0.0,3,0.0,0.04,11.1,0.16,0.16,0,25,4,0,0,0,0.0353,0.002,0.1279,-0.0225,0.0244,19.7594,0.0,-0.37,-69.81,23.6987,0.53,0.0,0.0,0.0,11.15,0.01,OTM,0,25,4,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
455.0,3398.0,201W08455,0.19,0.0,3,0.0,0.05,0.28,0.19,0.19,0,1,4,0,11,0,0.0396,0.0022,0.1405,-0.0248,0.0274,19.744,0.0,-0.41,-68.33,23.6987,0.6,0.0,0.0,0.0,11.6,0.01,OTM,0,1,4,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
452.5,3379.33,201W08452,0.22,0.0,3,0.0,0.05,12.2,0.22,0.22,0,25,4,0,0,0,0.0444,0.0024,0.154,-0.0272,0.0306,19.6616,0.0,-0.46,-67.65,23.6987,0.68,0.0,0.0,0.0,12.25,0.01,OTM,0,25,4,0.0,0.0,0,0.0,202508_call,2025-06-05,19:28:20
