acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
435.0,3248.64,201W07435,0.21,0.08,2,61.54,0.2,0.23,0.21,0.13,360,10,11,20940,294,130,0.0263,0.0022,0.071,-0.0247,0.0092,22.7994,0.0,-0.06,-22.22,23.6987,0.27,0.14,0.32,0.14,10.3,0.01,OTM,-1,18,22,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
432.5,3229.97,201W07432,0.25,0.11,2,78.57,0.05,0.0,0.25,0.14,243,0,4,16238,208,64,0.0315,0.0026,0.0824,-0.0287,0.011,22.6459,0.0,-0.08,-24.24,23.6987,0.33,0.16,0.37,0.16,10.6,0.01,OTM,3,0,4,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
430.0,3211.3,201W07430,0.28,0.12,2,75.0,0.27,0.31,0.28,0.16,745,1,1,59328,371,166,0.0375,0.003,0.0951,-0.0331,0.0131,22.2669,0.0,-0.12,-30.0,23.6987,0.4,0.2,0.44,0.18,11.2,0.01,OTM,0,3,6,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
427.5,3192.63,201W07427,0.33,0.15,2,83.33,0.06,2.69,0.33,0.18,266,1,4,23963,307,69,0.0445,0.0034,0.1092,-0.0381,0.0155,22.0672,0.0,-0.16,-32.65,23.6987,0.49,0.22,0.51,0.22,11.35,0.01,OTM,2,1,4,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
425.0,3173.96,201W07425,0.39,0.18,2,85.71,0.34,0.42,0.39,0.21,390,2,1,43358,594,102,0.0525,0.0039,0.1247,-0.0435,0.0183,21.8763,0.0,-0.2,-33.9,23.6987,0.59,0.24,0.59,0.24,11.8,0.01,OTM,1,4,7,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
422.5,3155.29,201W07422,0.45,0.2,2,80.0,0.43,0.54,0.45,0.25,241,1,1,30598,276,95,0.0617,0.0044,0.1416,-0.0495,0.0215,21.5856,0.0,-0.27,-37.5,23.6987,0.72,0.31,0.69,0.31,12.2,0.01,OTM,-1,1,15,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
420.0,3136.61,201W07420,0.54,0.25,2,86.21,0.59,3.91,0.54,0.29,777,6,6,117128,1127,75,0.0722,0.005,0.1599,-0.0559,0.0252,21.4544,0.0,-0.32,-37.21,23.6987,0.86,0.36,0.82,0.34,12.9,0.01,OTM,2,7,89,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
417.5,3117.94,201W07417,0.65,0.31,2,91.18,0.62,0.8,0.65,0.34,226,1,49,42983,189,17,0.0841,0.0056,0.1794,-0.0629,0.0293,21.3438,0.0,-0.38,-36.89,23.6987,1.03,0.41,0.98,0.4,13.8,0.01,OTM,0,1,104,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
415.0,3099.27,201W07415,0.78,0.31,2,65.96,0.77,0.8,0.78,0.47,411,1,1,80565,455,106,0.0974,0.0063,0.2002,-0.0702,0.0339,21.2285,0.0,-0.45,-36.59,23.6987,1.23,0.51,1.1,0.47,14.75,0.01,OTM,1,9,13,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
412.5,3080.6,201W07412,0.9,0.42,2,87.5,0.47,0.96,0.9,0.48,499,7,6,119895,454,227,0.1124,0.0069,0.222,-0.078,0.0391,20.9239,0.0,-0.56,-38.36,23.6987,1.46,0.57,1.31,0.56,15.05,0.01,OTM,-1,78,30,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
410.0,3061.93,201W07410,1.08,0.5,2,86.21,1.03,1.07,1.08,0.58,1256,1,1,363433,2751,990,0.129,0.0076,0.2446,-0.0861,0.0448,20.8203,0.0,-0.64,-37.21,23.6987,1.72,0.76,1.6,0.66,15.7,0.01,OTM,0,74,48,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
407.5,3043.26,201W07407,1.33,0.63,2,90.0,0.92,1.41,1.33,0.7,962,3,6,321325,335,145,0.1474,0.0084,0.2679,-0.0944,0.0511,20.8839,0.0,-0.7,-34.48,23.6987,2.03,0.85,1.87,0.84,16.6,0.01,OTM,0,28,14,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
405.0,3024.59,201W07405,1.57,0.75,2,91.46,1.56,1.65,1.57,0.82,731,1,1,275055,1509,759,0.1675,0.0091,0.2914,-0.1029,0.058,20.7256,0.0,-0.81,-34.03,23.6987,2.38,1.12,2.16,0.98,17.4,0.01,OTM,1,10,33,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
402.5,3005.92,201W07402,1.86,0.86,2,86.0,1.83,18.35,1.86,1.0,411,25,1,194438,705,54,0.1895,0.0098,0.315,-0.1114,0.0656,20.604,0.0,-0.92,-33.09,23.6987,2.78,1.33,2.54,1.18,18.4,0.01,OTM,1,25,22,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
400.0,2987.25,201W07400,2.2,0.94,2,74.6,2.21,2.3,2.2,1.26,1527,30,101,862170,5041,2150,0.2134,0.0106,0.3382,-0.1198,0.0737,20.4914,0.0,-1.03,-31.89,23.6987,3.23,1.56,3.06,1.42,19.85,0.01,OTM,-6,37,133,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
397.5,2968.58,201W07397,2.64,1.17,2,79.59,2.02,3.09,2.64,1.47,470,6,1,302638,526,78,0.2391,0.0113,0.3606,-0.1281,0.0825,20.5195,0.0,-1.1,-29.41,23.6987,3.74,1.85,3.57,1.72,20.75,0.01,OTM,1,7,14,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
395.0,2949.91,201W07395,3.13,1.32,2,72.93,2.62,3.12,3.13,1.81,1025,3,7,795505,1824,807,0.2666,0.0119,0.3819,-0.136,0.0918,20.4981,0.0,-1.18,-27.38,23.6987,4.31,2.29,4.09,2.03,21.95,0.01,OTM,545,28,41,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
392.5,2931.24,201W07392,3.66,1.54,2,72.64,3.32,4.14,3.66,2.12,672,6,1,613993,6846,-38,0.2957,0.0125,0.4016,-0.1433,0.1017,20.3944,0.0,-1.29,-26.06,23.6987,4.95,2.63,4.86,2.46,23.25,0.01,OTM,-6,79,35,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
