acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
490.0,3659.38,201W09490,0.05,0.0,3,0.0,0.1,0.71,0.05,0.05,0,1,1,0,0,0,0.02,0.0011,0.0942,-0.0119,0.0193,18.8297,0.0,-0.28,-84.85,23.6987,0.33,0.0,0.0,0.0,8.32,0.01,OTM,0,4,24,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
485.0,3622.04,201W09485,0.07,0.0,3,0.0,0.08,0.0,0.07,0.07,0,0,1,0,0,0,0.0244,0.0012,0.1115,-0.0141,0.0235,18.8422,0.0,-0.34,-82.93,23.6987,0.41,0.0,0.0,0.0,9.19,0.01,OTM,0,0,20,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
480.0,3584.7,201W09480,0.1,0.0,3,0.0,0.04,0.0,0.1,0.1,0,0,1,0,0,0,0.0297,0.0015,0.1311,-0.0166,0.0285,18.9153,0.0,-0.41,-80.39,23.6987,0.51,0.0,0.0,0.0,10.05,0.01,OTM,0,0,11,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
475.0,3547.36,201W09475,0.15,0.02,2,15.38,0.15,0.0,0.15,0.13,14,0,1,578,1024,6,0.0359,0.0017,0.1535,-0.0195,0.0345,19.134,0.0,-0.48,-76.19,23.6987,0.63,0.13,0.23,0.05,10.95,0.01,OTM,0,0,30,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
470.0,3510.02,201W09470,0.12,0.0,3,0.0,0.19,0.0,0.12,0.12,0,0,1,0,30,0,0.0433,0.002,0.1786,-0.0227,0.0415,17.8579,0.0,-0.66,-84.62,23.6987,0.78,0.0,0.0,0.0,10.65,0.01,OTM,0,0,7,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
465.0,3472.68,201W09465,0.27,0.08,2,42.11,0.26,0.0,0.27,0.19,3,0,1,205,17,2,0.0519,0.0023,0.2065,-0.0263,0.0497,19.1001,0.0,-0.69,-71.87,23.6987,0.96,0.28,0.28,0.27,12.55,0.01,OTM,2,0,5,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
460.0,3435.34,201W09460,0.38,0.11,2,40.74,0.07,0.0,0.38,0.27,18,0,4,1835,47,4,0.0619,0.0026,0.2374,-0.0302,0.0592,19.2558,0.0,-0.8,-67.8,23.6987,1.18,0.43,0.43,0.38,13.25,0.01,OTM,0,0,12,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
455.0,3398.0,201W09455,0.54,0.18,2,50.0,0.31,0.0,0.54,0.36,14,0,9,1838,21,10,0.0735,0.003,0.2712,-0.0346,0.0702,19.496,0.0,-0.9,-62.5,23.6987,1.44,0.44,0.54,0.43,14.2,0.01,OTM,0,0,13,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
450.0,3360.66,201W09450,0.67,0.23,2,52.27,0.55,0.78,0.67,0.44,12,18,1,1785,2050,9,0.0869,0.0034,0.3077,-0.0394,0.0829,19.3029,0.0,-1.09,-61.93,23.6987,1.76,0.41,0.67,0.41,15.15,0.01,OTM,8,18,15,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
445.0,3323.32,201W09445,0.78,0.25,2,47.17,0.59,16.05,0.78,0.53,57,25,18,9993,55,16,0.1022,0.0039,0.3468,-0.0445,0.0973,18.8657,0.0,-1.35,-63.38,23.6987,2.13,0.6,0.85,0.6,16.1,0.01,OTM,1,25,25,0.0,0.0,0,0.0,202509_call,2025-06-05,19:28:20
