acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
490.0,3659.38,301W09490,117.9,0.0,3,0.0,88.35,148.3,4.44,117.9,0,3,3,0,0,0,-0.98,0.0011,0.0942,0.0221,-1.2874,44.9272,113.46,6.26,5.61,23.6987,111.64,0.0,0.0,0.0,148.35,88.3,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
485.0,3622.04,301W09485,112.95,0.0,3,0.0,83.4,143.4,4.49,112.95,0,3,3,0,0,0,-0.9756,0.0012,0.1115,0.0195,-1.2698,43.8005,108.46,6.2,5.81,23.6987,106.75,0.0,0.0,0.0,143.45,83.35,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
480.0,3584.7,301W09480,108.0,0.0,3,0.0,78.4,138.65,4.54,108.0,0,3,3,0,0,0,-0.9703,0.0015,0.1311,0.0167,-1.2514,42.65,103.46,6.11,6.0,23.6987,101.89,0.0,0.0,0.0,138.7,78.35,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
475.0,3547.36,301W09475,103.05,0.0,3,0.0,73.45,133.85,4.59,103.05,0,3,3,0,0,0,-0.9641,0.0017,0.1535,0.0135,-1.2322,41.4745,98.46,6.01,6.19,23.6987,97.04,0.0,0.0,0.0,133.9,73.4,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
470.0,3510.02,301W09470,98.1,0.0,3,0.0,68.5,129.1,4.64,98.1,0,3,3,0,0,0,-0.9567,0.002,0.1786,0.0099,-1.2118,40.2726,93.46,5.87,6.36,23.6987,92.23,0.0,0.0,0.0,129.15,68.45,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
465.0,3472.68,301W09465,93.15,0.0,3,0.0,63.55,124.3,4.69,93.15,0,3,3,0,0,0,-0.9481,0.0023,0.2065,0.006,-1.1903,39.043,88.46,5.71,6.53,23.6987,87.44,0.0,0.0,0.0,124.35,63.5,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
460.0,3435.34,301W09460,88.25,0.0,3,0.0,58.55,119.5,4.79,88.25,0,3,3,0,0,0,-0.9381,0.0026,0.2374,0.0016,-1.1674,37.881,83.46,5.56,6.72,23.6987,82.69,0.0,0.0,0.0,119.55,58.5,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
455.0,3398.0,301W09455,83.35,0.0,3,0.0,53.6,114.85,4.89,83.35,0,3,3,0,0,0,-0.9265,0.003,0.2712,-0.0031,-1.1431,36.6843,78.46,5.36,6.87,23.6987,77.99,0.0,0.0,0.0,114.9,53.55,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
450.0,3360.66,301W09450,78.5,0.0,3,0.0,48.65,110.25,5.04,78.5,0,3,3,0,2000,0,-0.9131,0.0034,0.3077,-0.0082,-1.1171,35.5438,73.46,5.16,7.04,23.6987,73.34,0.0,0.0,0.0,110.3,48.6,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
445.0,3323.32,301W09445,73.65,0.0,3,0.0,43.65,105.6,5.19,73.65,0,3,3,0,0,0,-0.8978,0.0039,0.3468,-0.0136,-1.0894,34.3601,68.46,4.9,7.13,23.6987,68.75,0.0,0.0,0.0,105.65,43.6,ITM,0,3,3,0.0,0.0,0,0.0,202509_put,2025-06-05,19:28:20
