stck_bsop_date,stck_cntg_hour,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,cntg_vol,acml_tr_pbmn,code,trade_date,collection_time
20250530,112400,1659.8,1659.8,1659.8,1659.8,5,27565850,108W06,2025-06-05,19:28:20
20250602,90900,1656.6,1656.6,1656.6,1656.6,2,165660,108W06,2025-06-05,19:28:20
20250604,90600,1681.8,1677.6,1681.8,1677.6,8,672080,108W06,2025-06-05,19:28:20
20250530,112400,1659.8,1659.8,1659.8,1659.8,5,27565850,108W06,2025-06-05,19:38:08
20250602,090900,1656.6,1656.6,1656.6,1656.6,2,165660,108W06,2025-06-05,19:38:08
20250604,090600,1681.8,1677.6,1681.8,1677.6,8,672080,108W06,2025-06-05,19:38:08
