stck_bsop_date,stck_cntg_hour,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,cntg_vol,acml_tr_pbmn,code,trade_date,collection_time
20250604,141000,369.65,369.65,369.7,369.55,254,15605980875,101W06,2025-06-05,19:28:20
20250605,84500,372.85,373.0,373.35,372.7,2310,215422388,101W06,2025-06-05,19:28:20
20250604,141000,369.65,369.65,369.7,369.55,254,15605980875,101W06,2025-06-05,19:38:08
20250605,084500,372.85,373.0,373.35,372.7,2310,215422388,101W06,2025-06-05,19:38:08
