stck_bsop_date,stck_cntg_hour,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,cntg_vol,acml_tr_pbmn,code,trade_date,collection_time
20250604,141000,1219.1,1219.4,1219.4,1218.6,262,766098260,106W06,2025-06-05,19:28:20
20250605,84500,1218.8,1218.7,1220.0,1218.1,367,4473351,106W06,2025-06-05,19:28:20
20250604,141000,1219.1,1219.4,1219.4,1218.6,262,766098260,106W06,2025-06-05,19:38:08
20250605,084500,1218.8,1218.7,1220.0,1218.1,367,4473351,106W06,2025-06-05,19:38:08
