stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,code,trade_date,collection_time
2024-01-02,363.0,362.9,363.0,362.9,2369,214890950,N,101V09,2025-06-05,19:28:20
2024-01-03,356.0,357.9,357.9,356.0,5,446025,N,101V09,2025-06-05,19:28:20
2024-01-04,351.1,353.0,353.0,351.1,3,263800,N,101V09,2025-06-05,19:28:20
2024-01-05,350.0,350.3,350.3,350.0,3,262588,N,101V09,2025-06-05,19:28:20
2024-01-08,349.0,351.95,351.95,349.0,2,175238,N,101V09,2025-06-05,19:28:20
2024-01-09,346.95,350.0,350.0,346.95,5,435213,N,101V09,2025-06-05,19:28:20
2024-01-10,344.0,344.0,344.0,344.0,1,86000,N,101V09,2025-06-05,19:28:20
2024-01-11,345.55,345.7,346.15,345.55,5,432275,N,101V09,2025-06-05,19:28:20
2024-01-12,342.3,343.7,343.7,342.3,3,257075,N,101V09,2025-06-05,19:28:20
2024-01-15,342.2,341.9,343.2,341.0,10,855263,N,101V09,2025-06-05,19:28:20
2024-01-16,338.5,341.4,341.4,338.5,3,255325,N,101V09,2025-06-05,19:28:20
2024-01-17,328.85,337.4,337.4,328.6,89,7476600,N,101V09,2025-06-05,19:28:20
2024-01-18,329.45,329.2,330.8,328.65,13,1070950,N,101V09,2025-06-05,19:28:20
2024-01-19,329.45,329.45,329.45,329.45,0,0,N,101V09,2025-06-05,19:28:20
2024-01-22,337.8,337.8,337.8,337.8,0,0,N,101V09,2025-06-05,19:28:20
2024-01-23,336.75,334.2,336.75,334.2,5,419375,N,101V09,2025-06-05,19:28:20
2024-01-24,336.75,336.75,336.75,336.75,0,0,N,101V09,2025-06-05,19:28:20
2024-01-25,336.6,336.6,336.6,336.6,1,84150,N,101V09,2025-06-05,19:28:20
2024-01-26,336.4,337.4,339.9,336.4,7,592088,N,101V09,2025-06-05,19:28:20
2024-01-29,340.7,336.9,341.3,336.9,8,678863,N,101V09,2025-06-05,19:28:20
2024-01-30,340.65,340.6,340.65,340.6,2,170313,N,101V09,2025-06-05,19:28:20
2024-01-31,338.65,338.6,338.65,338.6,803,67882713,N,101V09,2025-06-05,19:28:20
2024-02-01,340.5,338.85,340.5,338.85,3,254575,N,101V09,2025-06-05,19:28:20
2024-02-02,355.05,345.1,355.9,345.1,26,2277388,N,101V09,2025-06-05,19:28:20
2024-02-05,352.0,347.5,352.0,347.5,14,1217050,N,101V09,2025-06-05,19:28:20
2024-02-06,350.2,350.8,351.9,347.6,10,874863,N,101V09,2025-06-05,19:28:20
2024-02-07,353.1,354.0,354.0,353.1,3,265275,N,101V09,2025-06-05,19:28:20
2024-02-08,355.4,355.4,355.4,355.4,1,88850,N,101V09,2025-06-05,19:28:20
2024-02-13,357.8,357.8,357.8,357.8,1,89450,N,101V09,2025-06-05,19:28:20
2024-02-14,357.8,357.8,357.8,357.8,0,0,N,101V09,2025-06-05,19:28:20
2024-02-15,354.0,357.8,357.8,354.0,4,355463,N,101V09,2025-06-05,19:28:20
2024-02-16,357.55,357.2,357.55,357.2,3,267988,N,101V09,2025-06-05,19:28:20
2024-02-19,363.0,360.0,363.0,360.0,5,451550,N,101V09,2025-06-05,19:28:20
2024-02-20,357.55,359.95,359.95,357.55,6,538263,N,101V09,2025-06-05,19:28:20
2024-02-21,357.55,357.55,357.55,357.55,0,0,N,101V09,2025-06-05,19:28:20
2024-02-22,360.15,360.55,360.55,359.95,8,720163,N,101V09,2025-06-05,19:28:20
2024-02-23,365.0,365.0,365.0,365.0,1,91250,N,101V09,2025-06-05,19:28:20
2024-02-26,358.3,359.5,359.6,358.25,241,21570750,N,101V09,2025-06-05,19:28:20
2024-02-27,354.8,358.35,358.35,354.8,600,53275638,N,101V09,2025-06-05,19:28:20
2024-02-28,360.1,360.1,360.1,360.1,1,90025,N,101V09,2025-06-05,19:28:20
2024-02-29,360.1,360.1,360.1,360.1,0,0,N,101V09,2025-06-05,19:28:20
2024-03-04,363.75,364.05,365.0,363.75,7,637813,N,101V09,2025-06-05,19:28:20
2024-03-05,361.45,364.5,364.5,361.45,1106,100063875,N,101V09,2025-06-05,19:28:20
2024-03-06,361.45,361.45,361.45,361.45,1100,98136875,N,101V09,2025-06-05,19:28:20
2024-03-07,359.5,362.7,362.7,357.95,257,23122888,N,101V09,2025-06-05,19:28:20
